Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
001,Chrome 71.0.3578.98,,2019-02-01 15:18:15,2019-02-01 15:18:23,"7,731s",PASSED
,,,,,,
Test Cases/0.1-Login,Chrome 71.0.3578.98,,2019-02-01 15:18:15,2019-02-01 15:18:22,"6,917s",PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-02-01 15:18:16,2019-02-01 15:18:19,"3,061s",PASSED
"lst = [""http://localhost:8080/saraweb/webcommon/acceso.jsf"", ""http://192.168.2.38:8080/saraweb/webcommon/acceso.jsf""]",Chrome 71.0.3578.98,,2019-02-01 15:18:19,2019-02-01 15:18:19,"0,000s",PASSED
for (String i : lst),Chrome 71.0.3578.98,,2019-02-01 15:18:19,2019-02-01 15:18:20,"1,181s",PASSED
"setText(findTestObject(""Login/input_USUARIO_loginusuario""), ""saraadmin"")",Chrome 71.0.3578.98,,2019-02-01 15:18:20,2019-02-01 15:18:20,"0,144s",PASSED
"setEncryptedText(findTestObject(""Login/input_CLAVE_loginpassword""), ""MkG4/TYiCFC3cb2driP7+Q=="")",Chrome 71.0.3578.98,,2019-02-01 15:18:20,2019-02-01 15:18:20,"0,136s",PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-01 15:18:20,2019-02-01 15:18:22,"2,017s",PASSED
"click(findTestObject(""Login/span_Ingresar""))",Chrome 71.0.3578.98,,2019-02-01 15:18:22,2019-02-01 15:18:22,"0,125s",PASSED
