Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
11-Pruebas_Compensaciones,Chrome 98.0.4758.102,,,2022-02-23 12:08:42,2022-02-23 12:12:21,"3m - 38,808s",PASSED
,,,,,,,
Test Cases/11.1-Pruebas_compensaciones/11.1.1-Recálcular_nómina_por_empleado,Chrome 98.0.4758.102,,,2022-02-23 12:08:42,2022-02-23 12:09:15,"32,548s",PASSED
"callTestCase(findTestCase(""0.1-Login""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-02-23 12:08:43,2022-02-23 12:08:52,"9,546s",PASSED
"setText(findTestObject(""Modulo compensaciones/Recálcular_nómina_por_empleado/input_Empresa 1_form_templatej_idt24_input""), ""liquidacion nomina"")",Chrome 98.0.4758.102,,,2022-02-23 12:08:52,2022-02-23 12:08:54,"1,177s",PASSED
"click(findTestObject(""Modulo compensaciones/Recálcular_nómina_por_empleado/li_Liquidacion Nomina (com)""))",Chrome 98.0.4758.102,,,2022-02-23 12:08:54,2022-02-23 12:08:55,"1,409s",PASSED
"click(findTestObject(""Modulo compensaciones/Recálcular_nómina_por_empleado/a_Periodo Nomina_LiquidacionNominaj_idt68""))",Chrome 98.0.4758.102,,,2022-02-23 12:08:55,2022-02-23 12:08:56,"0,995s",PASSED
"selectOptionByIndex(findTestObject(""Modulo compensaciones/Recálcular_nómina_por_empleado/select_--  Seleccione  --Periodo CerradoPeriodo en Proceso""), 2)",Chrome 98.0.4758.102,,,2022-02-23 12:08:56,2022-02-23 12:08:57,"1,315s",PASSED
"click(findTestObject(""Modulo compensaciones/Recálcular_nómina_por_empleado/span_P. MensualJunio2021""))",Chrome 98.0.4758.102,,,2022-02-23 12:08:57,2022-02-23 12:08:58,"0,861s",PASSED
"check(findTestObject(""Modulo compensaciones/Recálcular_nómina_por_empleado/div_Estado_ui-chkbox-box ui-widget ui-corner-all ui-state-default""))",Chrome 98.0.4758.102,,,2022-02-23 12:08:58,2022-02-23 12:09:00,"1,420s",PASSED
"click(findTestObject(""Modulo compensaciones/Recálcular_nómina_por_empleado/a_Reclculo Seleccin""))",Chrome 98.0.4758.102,,,2022-02-23 12:09:00,2022-02-23 12:09:00,"0,654s",PASSED
"click(findTestObject(""Modulo compensaciones/Recálcular_nómina_por_empleado/span_Si""))",Chrome 98.0.4758.102,,,2022-02-23 12:09:00,2022-02-23 12:09:01,"0,976s",PASSED
"if (waitForElementVisible(findTestObject(""Modulo compensaciones/Recálcular_nómina_por_empleado/p_Recalculo Finalizado""), 1))",Chrome 98.0.4758.102,,,2022-02-23 12:09:01,2022-02-23 12:09:15,"13,667s",PASSED
,,,,,,,
Test Cases/11.1-Pruebas_compensaciones/11.1.3-Liquidación_Nomina,Chrome 98.0.4758.102,,,2022-02-23 12:09:15,2022-02-23 12:09:35,"19,953s",PASSED
"callTestCase(findTestCase(""0.1-Login""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-02-23 12:09:15,2022-02-23 12:09:21,"5,354s",PASSED
"setText(findTestObject(""Modulo compensaciones/Liquidación_Nomina/input_Empresa 1_form_templatej_idt24_input""), ""Liquidacion Nomina"")",Chrome 98.0.4758.102,,,2022-02-23 12:09:21,2022-02-23 12:09:22,"1,574s",PASSED
"click(findTestObject(""Modulo compensaciones/Liquidación_Nomina/li_Liquidacion Nomina (com)""))",Chrome 98.0.4758.102,,,2022-02-23 12:09:22,2022-02-23 12:09:24,"1,371s",PASSED
"click(findTestObject(""Modulo compensaciones/Liquidación_Nomina/a_Periodo Nomina_LiquidacionNominaj_idt68""))",Chrome 98.0.4758.102,,,2022-02-23 12:09:24,2022-02-23 12:09:25,"1,759s",PASSED
"selectOptionByIndex(findTestObject(""Modulo compensaciones/Liquidación_Nomina/select_--  Seleccione  --Periodo CerradoPeriodo en Proceso""), 2)",Chrome 98.0.4758.102,,,2022-02-23 12:09:25,2022-02-23 12:09:27,"1,348s",PASSED
"click(findTestObject(""Modulo compensaciones/Liquidación_Nomina/span_P. MensualJulio2021""))",Chrome 98.0.4758.102,,,2022-02-23 12:09:27,2022-02-23 12:09:27,"0,680s",PASSED
"setText(findTestObject(""Modulo compensaciones/Liquidación_Nomina/input_Nombre Persona_LiquidacionNominaj_idt124""), ""1026588953"")",Chrome 98.0.4758.102,,,2022-02-23 12:09:27,2022-02-23 12:09:29,"1,856s",PASSED
"sendKeys(findTestObject(""Modulo compensaciones/Liquidación_Nomina/input_Nombre Persona_LiquidacionNominaj_idt124""), Keys.chord(ENTER))",Chrome 98.0.4758.102,,,2022-02-23 12:09:29,2022-02-23 12:09:30,"0,407s",PASSED
