Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
7-Pruebas_Vinculación,Chrome 98.0.4758.102,,,2022-02-23 16:41:34,2022-02-23 16:44:34,"3m - 0,319s",PASSED
,,,,,,,
Test Cases/7.1-Pruebas_Vinculación/7.1.1-Crear_un_tipo_Documento,Chrome 98.0.4758.102,,,2022-02-23 16:41:34,2022-02-23 16:41:58,"23,795s",PASSED
"callTestCase(findTestCase(""0.1-Login""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-02-23 16:41:35,2022-02-23 16:41:44,"9,455s",PASSED
"setText(findTestObject(""Modulo Pruebas Vinculación/Crear_un_tipo_Documento/input_Empresa 1_form_templatej_idt24_input""), ""parametros contratacion"")",Chrome 98.0.4758.102,,,2022-02-23 16:41:44,2022-02-23 16:41:46,"1,579s",PASSED
"click(findTestObject(""Modulo Pruebas Vinculación/Crear_un_tipo_Documento/span_Parametros Contratacion""))",Chrome 98.0.4758.102,,,2022-02-23 16:41:46,2022-02-23 16:41:47,"1,430s",PASSED
"click(findTestObject(""Modulo Pruebas Vinculación/Crear_un_tipo_Documento/a_Tipo  Documento""))",Chrome 98.0.4758.102,,,2022-02-23 16:41:47,2022-02-23 16:41:48,"0,922s",PASSED
"setText(findTestObject(""Modulo Pruebas Vinculación/Crear_un_Momento/input_Parmetros_form_tipodocumentofiltroTipoHoja""), ""pruebas katalon"")",Chrome 98.0.4758.102,,,2022-02-23 16:41:48,2022-02-23 16:41:50,"1,196s",PASSED
"sendKeys(findTestObject(""Modulo Pruebas Vinculación/Crear_un_Momento/input_Parmetros_form_tipodocumentofiltroTipoHoja""), Keys.chord(ENTER))",Chrome 98.0.4758.102,,,2022-02-23 16:41:50,2022-02-23 16:41:50,"0,692s",PASSED
"if (waitForElementVisible(findTestObject(""Modulo Pruebas Vinculación/Crear_un_Momento/span_Pruebas katalon""), 1))",Chrome 98.0.4758.102,,,2022-02-23 16:41:50,2022-02-23 16:41:53,"2,542s",PASSED
"click(findTestObject(""Modulo Pruebas Vinculación/Crear_un_tipo_Documento/a_Nuevo""))",Chrome 98.0.4758.102,,,2022-02-23 16:41:53,2022-02-23 16:41:53,"0,567s",PASSED
"setText(findTestObject(""Modulo Pruebas Vinculación/Crear_un_tipo_Documento/input_Cdigo_form_tipodocumentocodigo""), ""5"")",Chrome 98.0.4758.102,,,2022-02-23 16:41:53,2022-02-23 16:41:54,"0,963s",PASSED
"setText(findTestObject(""Modulo Pruebas Vinculación/Crear_un_tipo_Documento/textarea_Descripcin_form_tipodocumentodescripcion""), ""Pruebas katalon"")",Chrome 98.0.4758.102,,,2022-02-23 16:41:54,2022-02-23 16:41:55,"0,731s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Vinculación/Crear_un_tipo_Documento/select_Documento AnexoDocumento Control""), 1)",Chrome 98.0.4758.102,,,2022-02-23 16:41:55,2022-02-23 16:41:56,"1,020s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Vinculación/Crear_un_tipo_Documento/select_--Seleccione--MODO COLOMBIA HV""), 1)",Chrome 98.0.4758.102,,,2022-02-23 16:41:56,2022-02-23 16:41:57,"1,003s",PASSED
"click(findTestObject(""Modulo Pruebas Vinculación/Crear_un_tipo_Documento/a_Guardar""))",Chrome 98.0.4758.102,,,2022-02-23 16:41:57,2022-02-23 16:41:57,"0,377s",PASSED
