Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3-Pruebas_Bienestar,Chrome 98.0.4758.102,,,2022-03-01 10:48:30,2022-03-01 11:00:05,"11m - 34,941s",FAILED
,,,,,,,
Test Cases/3.1-Pruebas_Bienestar/3.1.1-Crear_un_Evento,Chrome 98.0.4758.102,,,2022-03-01 10:48:30,2022-03-01 10:51:23,"2m - 53,454s",PASSED
today = new java.util.Date(),Chrome 98.0.4758.102,,,2022-03-01 10:48:31,2022-03-01 10:48:31,"0,009s",PASSED
"Dia = today.format(""dd"")",Chrome 98.0.4758.102,,,2022-03-01 10:48:31,2022-03-01 10:48:31,"0,003s",PASSED
"Mes = today.format(""MM"")",Chrome 98.0.4758.102,,,2022-03-01 10:48:31,2022-03-01 10:48:31,"0,002s",PASSED
"MesN = today.format(""MM"")",Chrome 98.0.4758.102,,,2022-03-01 10:48:31,2022-03-01 10:48:31,"0,000s",PASSED
"Año = today.format(""yyyy"")",Chrome 98.0.4758.102,,,2022-03-01 10:48:31,2022-03-01 10:48:31,"0,002s",PASSED
"AñoN = today.format(""yyyy"")",Chrome 98.0.4758.102,,,2022-03-01 10:48:31,2022-03-01 10:48:31,"0,001s",PASSED
sumaD = Dia + 10,Chrome 98.0.4758.102,,,2022-03-01 10:48:31,2022-03-01 10:48:31,"0,001s",PASSED
sumaM = Mes + 1,Chrome 98.0.4758.102,,,2022-03-01 10:48:31,2022-03-01 10:48:31,"0,000s",PASSED
sumaA = Año + 1,Chrome 98.0.4758.102,,,2022-03-01 10:48:31,2022-03-01 10:48:31,"0,000s",PASSED
if (sumaD > 30),Chrome 98.0.4758.102,,,2022-03-01 10:48:31,2022-03-01 10:48:31,"0,001s",PASSED
else,Chrome 98.0.4758.102,,,2022-03-01 10:48:31,2022-03-01 10:48:31,"0,002s",PASSED
if (sumaM > 12),Chrome 98.0.4758.102,,,2022-03-01 10:48:31,2022-03-01 10:48:31,"0,000s",PASSED
"FechaI = Dia + ""/"" + MesN + ""/"" + AñoN",Chrome 98.0.4758.102,,,2022-03-01 10:48:31,2022-03-01 10:48:31,"0,005s",PASSED
"FechaF = sumaD + ""/"" + Mes + ""/"" + Año",Chrome 98.0.4758.102,,,2022-03-01 10:48:31,2022-03-01 10:48:31,"0,002s",PASSED
"callTestCase(findTestCase(""Utilidades-(atajos_para _tareas)/Modulos/Modulo bienestar-eventos""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-01 10:48:31,2022-03-01 10:48:43,"12,710s",PASSED
