Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
12-Pruebas_Planta_Personal,Chrome 98.0.4758.102,,,2022-03-03 13:59:57,2022-03-03 14:06:16,"6m - 19,801s",FAILED
,,,,,,,
Test Cases/12.1-Pruebas_planta_personal/12.1.1-Crear_una_unidad,Chrome 98.0.4758.102,,,2022-03-03 13:59:57,2022-03-03 14:00:53,"55,843s",FAILED
"callTestCase(findTestCase(""0.1-Login""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-03 13:59:57,2022-03-03 14:00:07,"9,377s",PASSED
"setText(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/input_Empresa 1_form_templatej_idt24_input""), ""planta personal (tal)"")",Chrome 98.0.4758.102,,,2022-03-03 14:00:07,2022-03-03 14:00:08,"1,170s",PASSED
"click(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/span_Planta Personal (tal)""))",Chrome 98.0.4758.102,,,2022-03-03 14:00:08,2022-03-03 14:00:09,"1,410s",PASSED
"click(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/span_Administracion""))",Chrome 98.0.4758.102,,,2022-03-03 14:00:09,2022-03-03 14:00:11,"1,404s",PASSED
"click(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/span_No Relacionado_ui-button-icon-left ui-icon ui-c ui-icon-triangle-1-s""))",Chrome 98.0.4758.102,,,2022-03-03 14:00:11,2022-03-03 14:00:12,"1,170s",PASSED
"click(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/span_Organigrama""))",Chrome 98.0.4758.102,,,2022-03-03 14:00:12,2022-03-03 14:00:12,"0,446s",PASSED
"getText(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/span_Pruebas  Katalon""))",Chrome 98.0.4758.102,,,2022-03-03 14:00:12,2022-03-03 14:00:13,"0,886s",PASSED
"if (waitForElementVisible(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/span_Pruebas  Katalon""), 1))",Chrome 98.0.4758.102,,,2022-03-03 14:00:13,2022-03-03 14:00:17,"4,128s",PASSED
"click(findTestObject(""Modulo Pruebas Planta de Personal/Crear_una_unidad/a_Organigrama_organigramacrearUnidad""))",Chrome 98.0.4758.102,,,2022-03-03 14:00:17,2022-03-03 14:00:53,"35,354s",FAILED
,,,,,,,
Test Cases/12.1-Pruebas_planta_personal/12.1.3-Crear_un_puesto_de_trabajo,Chrome 98.0.4758.102,,,2022-03-03 14:00:53,2022-03-03 14:01:25,"31,932s",PASSED
"callTestCase(findTestCase(""0.1-Login""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-03 14:00:53,2022-03-03 14:01:01,"7,687s",PASSED
