Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
10-Pruebas_Selección,Chrome 98.0.4758.102,,,2022-03-08 14:40:13,2022-03-08 14:43:40,"3m - 27,192s",FAILED
,,,,,,,
Test Cases/10.1-Pruebas_Selección/10.1.1-Crear_un_requerimiento_según_motivo_y_formato,Chrome 98.0.4758.102,,,2022-03-08 14:40:13,2022-03-08 14:40:41,"28,189s",PASSED
"callTestCase(findTestCase(""0.1-Login""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-08 14:40:14,2022-03-08 14:40:25,"11,720s",PASSED
"setText(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/input_Empresa 1_form_templatej_idt24_input""), ""requerimiento personal"")",Chrome 98.0.4758.102,,,2022-03-08 14:40:25,2022-03-08 14:40:27,"1,652s",PASSED
"click(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/span_Requerimiento Personal""))",Chrome 98.0.4758.102,,,2022-03-08 14:40:27,2022-03-08 14:40:28,"1,374s",PASSED
"if (waitForElementVisible(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/span_PRUEBA""), 1))",Chrome 98.0.4758.102,,,2022-03-08 14:40:28,2022-03-08 14:40:31,"2,422s",PASSED
else,Chrome 98.0.4758.102,,,2022-03-08 14:40:31,2022-03-08 14:40:32,"1,124s",PASSED
"if (waitForElementVisible(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/a_Modificar Motivo""), 1))",Chrome 98.0.4758.102,,,2022-03-08 14:40:32,2022-03-08 14:40:33,"1,456s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/select_2120 HORAS1240 HORAS0NO DEFINIDO61Pensin Convencional62""), 3)",Chrome 98.0.4758.102,,,2022-03-08 14:40:34,2022-03-08 14:40:35,"1,289s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/select_Tcnico AdministrativoOperativo""), 2)",Chrome 98.0.4758.102,,,2022-03-08 14:40:35,2022-03-08 14:40:36,"0,971s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/select_1 mes2 meses3 meses6 mesesNo aplicaOtro""), 4)",Chrome 98.0.4758.102,,,2022-03-08 14:40:36,2022-03-08 14:40:37,"0,977s",PASSED
"setText(findTestObject(""Modulo Selección/Crear_un_requerimiento_según_motivo_y_formato/input_Horario_requerimientoPersonalPM_formj_idt11990tablaCamHijo8j_idt1209""), ""454"")",Chrome 98.0.4758.102,,,2022-03-08 14:40:37,2022-03-08 14:40:37,"0,716s",PASSED
