Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
13-Pruebas_Control_Tiempos,Chrome 98.0.4758.102,,,2022-03-08 14:43:44,2022-03-08 14:48:34,"4m - 49,471s",FAILED
,,,,,,,
Test Cases/13.1-Pruebas_control_tiempos/13.1.1-Listado_de_personas,Chrome 98.0.4758.102,,,2022-03-08 14:43:45,2022-03-08 14:44:47,"1m - 2,292s",FAILED
"callTestCase(findTestCase(""0.1-Login""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-08 14:43:45,2022-03-08 14:43:54,"8,669s",PASSED
"setText(findTestObject(""Modulo control tiempo/Listado de Personas/input_Empresa 1_form_templatej_idt24_input""), ""Listado Persona"")",Chrome 98.0.4758.102,,,2022-03-08 14:43:54,2022-03-08 14:43:55,"1,266s",PASSED
"click(findTestObject(""Modulo control tiempo/Listado de Personas/span_Listado Persona""))",Chrome 98.0.4758.102,,,2022-03-08 14:43:55,2022-03-08 14:43:57,"1,427s",PASSED
"if (waitForElementVisible(findTestObject(""Modulo control tiempo/Listado de Personas/td_1010220596""), 1))",Chrome 98.0.4758.102,,,2022-03-08 14:43:57,2022-03-08 14:44:47,"50,391s",PASSED
,,,,,,,
Test Cases/13.1-Pruebas_control_tiempos/13.1.2-Sitios_de_Trabajo,Chrome 98.0.4758.102,,,2022-03-08 14:44:47,2022-03-08 14:45:06,"18,736s",PASSED
"callTestCase(findTestCase(""0.1-Login""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-08 14:44:48,2022-03-08 14:44:56,"8,170s",PASSED
"setText(findTestObject(""Modulo control tiempo/Sitios_de_Trabajo/input_Empresa 1_form_templatej_idt24_input""), ""listado persona"")",Chrome 98.0.4758.102,,,2022-03-08 14:44:56,2022-03-08 14:44:57,"1,195s",PASSED
"click(findTestObject(""Modulo control tiempo/Sitios_de_Trabajo/span_Listado Persona""))",Chrome 98.0.4758.102,,,2022-03-08 14:44:57,2022-03-08 14:44:59,"1,959s",PASSED
"click(findTestObject(""Modulo control tiempo/Sitios_de_Trabajo/td_1010220596""))",Chrome 98.0.4758.102,,,2022-03-08 14:44:59,2022-03-08 14:45:02,"2,935s",PASSED
"click(findTestObject(""Modulo control tiempo/Sitios_de_Trabajo/a_Sitios de Trabajo""))",Chrome 98.0.4758.102,,,2022-03-08 14:45:02,2022-03-08 14:45:03,"0,585s",PASSED
"click(findTestObject(""Modulo control tiempo/Sitios_de_Trabajo/li_02-Sede Externo""))",Chrome 98.0.4758.102,,,2022-03-08 14:45:03,2022-03-08 14:45:04,"0,744s",PASSED
"if (waitForElementVisible(findTestObject(""Modulo control tiempo/Sitios_de_Trabajo/td_9""), 1))",Chrome 98.0.4758.102,,,2022-03-08 14:45:04,2022-03-08 14:45:05,"1,377s",PASSED
