Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3-Pruebas_Bienestar,Chrome 98.0.4758.102,,,2022-03-08 14:26:39,2022-03-08 14:38:06,"11m - 26,630s",PASSED
,,,,,,,
Test Cases/3.1-Pruebas_Bienestar/3.1.1-Crear_un_Evento,Chrome 98.0.4758.102,,,2022-03-08 14:26:40,2022-03-08 14:29:41,"3m - 0,802s",PASSED
today = new java.util.Date(),Chrome 98.0.4758.102,,,2022-03-08 14:26:42,2022-03-08 14:26:42,"0,009s",PASSED
"Dia = today.format(""dd"")",Chrome 98.0.4758.102,,,2022-03-08 14:26:42,2022-03-08 14:26:42,"0,005s",PASSED
"Mes = today.format(""MM"")",Chrome 98.0.4758.102,,,2022-03-08 14:26:42,2022-03-08 14:26:42,"0,002s",PASSED
"MesN = today.format(""MM"")",Chrome 98.0.4758.102,,,2022-03-08 14:26:42,2022-03-08 14:26:42,"0,001s",PASSED
"Año = today.format(""yyyy"")",Chrome 98.0.4758.102,,,2022-03-08 14:26:42,2022-03-08 14:26:42,"0,001s",PASSED
"AñoN = today.format(""yyyy"")",Chrome 98.0.4758.102,,,2022-03-08 14:26:42,2022-03-08 14:26:42,"0,001s",PASSED
sumaD = Dia + 10,Chrome 98.0.4758.102,,,2022-03-08 14:26:42,2022-03-08 14:26:42,"0,001s",PASSED
sumaM = Mes + 1,Chrome 98.0.4758.102,,,2022-03-08 14:26:42,2022-03-08 14:26:42,"0,001s",PASSED
sumaA = Año + 1,Chrome 98.0.4758.102,,,2022-03-08 14:26:42,2022-03-08 14:26:42,"0,001s",PASSED
if (sumaD > 30),Chrome 98.0.4758.102,,,2022-03-08 14:26:42,2022-03-08 14:26:42,"0,001s",PASSED
else,Chrome 98.0.4758.102,,,2022-03-08 14:26:42,2022-03-08 14:26:42,"0,023s",PASSED
if (sumaM > 12),Chrome 98.0.4758.102,,,2022-03-08 14:26:42,2022-03-08 14:26:42,"0,000s",PASSED
"FechaI = Dia + ""/"" + MesN + ""/"" + AñoN",Chrome 98.0.4758.102,,,2022-03-08 14:26:42,2022-03-08 14:26:42,"0,001s",PASSED
"FechaF = sumaD + ""/"" + Mes + ""/"" + Año",Chrome 98.0.4758.102,,,2022-03-08 14:26:42,2022-03-08 14:26:42,"0,003s",PASSED
"callTestCase(findTestCase(""Utilidades-(atajos_para _tareas)/Modulos/Modulo bienestar-eventos""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-08 14:26:42,2022-03-08 14:27:00,"18,421s",PASSED
"if (waitForElementClickable(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/td_Prueba-S""), 1))",Chrome 98.0.4758.102,,,2022-03-08 14:27:00,2022-03-08 14:27:48,"47,936s",PASSED
"if (waitForElementClickable(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/td_Prueba-S-SH""), 1))",Chrome 98.0.4758.102,,,2022-03-08 14:27:48,2022-03-08 14:28:46,"57,968s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/a_Nuevo""))",Chrome 98.0.4758.102,,,2022-03-08 14:28:46,2022-03-08 14:28:47,"0,906s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/select_-- Seleccione --aprea de Saludrea Formativarea Deportivarea de cienciasrea Social""), 3)",Chrome 98.0.4758.102,,,2022-03-08 14:28:47,2022-03-08 14:28:49,"1,715s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/select_-- Seleccione --Promocin y prevencinActivate Acompaamiento psicosocial Semana de la SaludSeguimiento puestos de trabajo""), ""1"")",Chrome 98.0.4758.102,,,2022-03-08 14:28:49,2022-03-08 14:28:50,"1,293s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/select_-- Seleccione --Evento grupo Bienestar MultipleEvento Grupo Bienestar Multiple SIEvento Grupo Bienestar nicoEvento Individual Multiple SS""), 5)",Chrome 98.0.4758.102,,,2022-03-08 14:28:50,2022-03-08 14:28:51,"1,383s",PASSED
"waitForElementClickable(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/a_Aplicar""), 0)",Chrome 98.0.4758.102,,,2022-03-08 14:28:51,2022-03-08 14:28:52,"0,582s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/a_Aplicar""))",Chrome 98.0.4758.102,,,2022-03-08 14:28:52,2022-03-08 14:28:52,"0,381s",PASSED
"waitForElementClickable(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Nombre_formEventosfENombre""), 0)",Chrome 98.0.4758.102,,,2022-03-08 14:28:52,2022-03-08 14:28:53,"0,816s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Nombre_formEventosfENombre""), ""Prueba-S"")",Chrome 98.0.4758.102,,,2022-03-08 14:28:53,2022-03-08 14:28:54,"0,724s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Inicial Desarrollo_formEventosfechaIn_input""), FechaI)",Chrome 98.0.4758.102,,,2022-03-08 14:28:54,2022-03-08 14:28:55,"0,772s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Final Desarrollo_formEventosfechaFin_input""), FechaF)",Chrome 98.0.4758.102,,,2022-03-08 14:28:55,2022-03-08 14:28:56,"1,053s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/a_Guardar""))",Chrome 98.0.4758.102,,,2022-03-08 14:28:56,2022-03-08 14:28:56,"0,497s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/a_Momento Eventos""))",Chrome 98.0.4758.102,,,2022-03-08 14:28:56,2022-03-08 14:28:58,"2,088s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/a_Nuevo1""))",Chrome 98.0.4758.102,,,2022-03-08 14:28:58,2022-03-08 14:28:59,"0,810s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Cdigo_popupMomentoEvento_formcodigo""), ""355682169"")",Chrome 98.0.4758.102,,,2022-03-08 14:28:59,2022-03-08 14:29:01,"1,937s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Nombre_popupMomentoEvento_formpMENombre""), ""prueba"")",Chrome 98.0.4758.102,,,2022-03-08 14:29:01,2022-03-08 14:29:02,"0,810s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/select_-- Seleccione --ESCENARIO DE PRUEBASALON 1""), 1)",Chrome 98.0.4758.102,,,2022-03-08 14:29:02,2022-03-08 14:29:03,"1,059s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/select_-- Seleccione --FemeninaMasculinaMixta""), 3)",Chrome 98.0.4758.102,,,2022-03-08 14:29:03,2022-03-08 14:29:04,"1,380s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/select_-- Seleccione --Nivel BsicoNivel IntermedionicoNivel Avanzado""), 1)",Chrome 98.0.4758.102,,,2022-03-08 14:29:04,2022-03-08 14:29:05,"1,048s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Cupo Mximo_popupMomentoEvento_formpMECupoMaximo""), ""150"")",Chrome 98.0.4758.102,,,2022-03-08 14:29:05,2022-03-08 14:29:06,"0,697s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Cupo Minimo_popupMomentoEvento_formpMECupoMinimo""), ""1"")",Chrome 98.0.4758.102,,,2022-03-08 14:29:06,2022-03-08 14:29:07,"0,683s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/select_-- Seleccione --CanceladoProgramada""), 2)",Chrome 98.0.4758.102,,,2022-03-08 14:29:07,2022-03-08 14:29:08,"1,174s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Inscripcin Inicial_popupMomentoEvento_formpMEInscripcionInicia_input""), FechaI)",Chrome 98.0.4758.102,,,2022-03-08 14:29:08,2022-03-08 14:29:09,"1,464s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Inscripcin Termina_popupMomentoEvento_formpMEInscripcionFinaliza_input""), FechaF)",Chrome 98.0.4758.102,,,2022-03-08 14:29:09,2022-03-08 14:29:10,"0,984s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/a_Guardar1""))",Chrome 98.0.4758.102,,,2022-03-08 14:29:10,2022-03-08 14:29:11,"0,519s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/a_Regresar""))",Chrome 98.0.4758.102,,,2022-03-08 14:29:11,2022-03-08 14:29:12,"1,374s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/a_Nuevo""))",Chrome 98.0.4758.102,,,2022-03-08 14:29:12,2022-03-08 14:29:13,"1,170s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/select_-- Seleccione --aprea de Saludrea Formativarea Deportivarea de cienciasrea Social""), 5)",Chrome 98.0.4758.102,,,2022-03-08 14:29:13,2022-03-08 14:29:15,"1,633s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/select_-- Seleccione --Promocin y prevencinActivate Acompaamiento psicosocial Semana de la SaludSeguimiento puestos de trabajo""), ""1"")",Chrome 98.0.4758.102,,,2022-03-08 14:29:15,2022-03-08 14:29:16,"1,333s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/select_-- Seleccione --Evento grupo Bienestar MultipleEvento Grupo Bienestar Multiple SIEvento Grupo Bienestar nicoEvento Individual Multiple SS""), 2)",Chrome 98.0.4758.102,,,2022-03-08 14:29:16,2022-03-08 14:29:18,"1,833s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/a_Aplicar""))",Chrome 98.0.4758.102,,,2022-03-08 14:29:18,2022-03-08 14:29:19,"0,698s",PASSED
"waitForElementClickable(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Nombre_formEventosfENombre""), 0)",Chrome 98.0.4758.102,,,2022-03-08 14:29:19,2022-03-08 14:29:21,"1,862s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Nombre_formEventosfENombre""), ""Prueba-S-SH"")",Chrome 98.0.4758.102,,,2022-03-08 14:29:21,2022-03-08 14:29:21,"0,784s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Inicial Desarrollo_formEventosfechaIn_input""), FechaI)",Chrome 98.0.4758.102,,,2022-03-08 14:29:21,2022-03-08 14:29:22,"0,736s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Final Desarrollo_formEventosfechaFin_input""), FechaF)",Chrome 98.0.4758.102,,,2022-03-08 14:29:22,2022-03-08 14:29:23,"1,201s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/a_Guardar""))",Chrome 98.0.4758.102,,,2022-03-08 14:29:23,2022-03-08 14:29:24,"0,653s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/a_Momento Eventos""))",Chrome 98.0.4758.102,,,2022-03-08 14:29:24,2022-03-08 14:29:25,"1,016s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/a_Nuevo1""))",Chrome 98.0.4758.102,,,2022-03-08 14:29:25,2022-03-08 14:29:26,"0,958s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Cdigo_popupMomentoEvento_formcodigo""), ""355682169"")",Chrome 98.0.4758.102,,,2022-03-08 14:29:26,2022-03-08 14:29:28,"2,013s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Nombre_popupMomentoEvento_formpMENombre""), ""prueba-S-SH"")",Chrome 98.0.4758.102,,,2022-03-08 14:29:28,2022-03-08 14:29:29,"0,840s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/select_-- Seleccione --ESCENARIO DE PRUEBASALON 1""), 1)",Chrome 98.0.4758.102,,,2022-03-08 14:29:29,2022-03-08 14:29:30,"0,954s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/select_-- Seleccione --FemeninaMasculinaMixta""), 3)",Chrome 98.0.4758.102,,,2022-03-08 14:29:30,2022-03-08 14:29:31,"1,375s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/select_-- Seleccione --Nivel BsicoNivel IntermedionicoNivel Avanzado""), 1)",Chrome 98.0.4758.102,,,2022-03-08 14:29:31,2022-03-08 14:29:33,"1,611s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Cupo Mximo_popupMomentoEvento_formpMECupoMaximo""), ""150"")",Chrome 98.0.4758.102,,,2022-03-08 14:29:33,2022-03-08 14:29:34,"0,725s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Cupo Minimo_popupMomentoEvento_formpMECupoMinimo""), ""1"")",Chrome 98.0.4758.102,,,2022-03-08 14:29:34,2022-03-08 14:29:34,"0,840s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/select_-- Seleccione --Canizalez Acero Marta BrigitteMendoza 1010 Empleado""), 2)",Chrome 98.0.4758.102,,,2022-03-08 14:29:34,2022-03-08 14:29:36,"1,353s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/select_-- Seleccione --CanceladoProgramada""), 2)",Chrome 98.0.4758.102,,,2022-03-08 14:29:36,2022-03-08 14:29:37,"1,233s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Inscripcin Inicial_popupMomentoEvento_formpMEInscripcionInicia_input""), FechaI)",Chrome 98.0.4758.102,,,2022-03-08 14:29:37,2022-03-08 14:29:38,"0,837s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/input_Inscripcin Termina_popupMomentoEvento_formpMEInscripcionFinaliza_input""), FechaF)",Chrome 98.0.4758.102,,,2022-03-08 14:29:38,2022-03-08 14:29:39,"1,194s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/a_Guardar1""))",Chrome 98.0.4758.102,,,2022-03-08 14:29:39,2022-03-08 14:29:40,"0,649s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Crear_un_Evento/a_Regresar""))",Chrome 98.0.4758.102,,,2022-03-08 14:29:40,2022-03-08 14:29:41,"1,054s",PASSED
,,,,,,,
Test Cases/3.1-Pruebas_Bienestar/3.1.2-Ingresar_instructores,Chrome 98.0.4758.102,,,2022-03-08 14:29:41,2022-03-08 14:30:03,"22,081s",PASSED
"callTestCase(findTestCase(""Utilidades-(atajos_para _tareas)/Modulos/Modulo bienestar-eventos""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-08 14:29:41,2022-03-08 14:29:50,"9,289s",PASSED
"if (waitForElementPresent(findTestObject(""Modulo Pruebas Bienestar/Ingresar instructores/td_Prueba""), 1))",Chrome 98.0.4758.102,,,2022-03-08 14:29:50,2022-03-08 14:30:01,"10,656s",PASSED
closeBrowser(),Chrome 98.0.4758.102,,,2022-03-08 14:30:01,2022-03-08 14:30:03,"1,618s",PASSED
,,,,,,,
Test Cases/3.1-Pruebas_Bienestar/3.1.3-Ingresar entidades,Chrome 98.0.4758.102,,,2022-03-08 14:30:03,2022-03-08 14:30:19,"16,067s",PASSED
"callTestCase(findTestCase(""Utilidades-(atajos_para _tareas)/Modulos/Modulo bienestar-eventos""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-08 14:30:03,2022-03-08 14:30:13,"9,420s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Ingresar_Entidades/td_Prueba-S""))",Chrome 98.0.4758.102,,,2022-03-08 14:30:13,2022-03-08 14:30:14,"1,034s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Ingresar_Entidades/a_Entidades""))",Chrome 98.0.4758.102,,,2022-03-08 14:30:14,2022-03-08 14:30:14,"0,738s",PASSED
"if (waitForElementClickable(findTestObject(""Modulo Pruebas Bienestar/Ingresar_Entidades/a_US_form_entidadlistaEntidades0j_idt626""), 1))",Chrome 98.0.4758.102,,,2022-03-08 14:30:14,2022-03-08 14:30:17,"2,333s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Ingresar_Entidades/select_-- Seleccione --US""), 1)",Chrome 98.0.4758.102,,,2022-03-08 14:30:17,2022-03-08 14:30:18,"0,968s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Ingresar_Entidades/a_Entidades_form_entidadlistaEntidadesj_idt628""))",Chrome 98.0.4758.102,,,2022-03-08 14:30:18,2022-03-08 14:30:18,"0,376s",PASSED
closeBrowser(),Chrome 98.0.4758.102,,,2022-03-08 14:30:18,2022-03-08 14:30:19,"0,714s",PASSED
,,,,,,,
Test Cases/3.1-Pruebas_Bienestar/3.1.4-Filtro_de_asistentes,Chrome 98.0.4758.102,,,2022-03-08 14:30:19,2022-03-08 14:30:52,"33,554s",PASSED
"callTestCase(findTestCase(""Utilidades-(atajos_para _tareas)/Modulos/Modulo bienestar-eventos""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-08 14:30:19,2022-03-08 14:30:28,"8,458s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/td_Prueba-S""))",Chrome 98.0.4758.102,,,2022-03-08 14:30:28,2022-03-08 14:30:29,"1,758s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/a_DirigidoA""))",Chrome 98.0.4758.102,,,2022-03-08 14:30:29,2022-03-08 14:30:31,"1,450s",PASSED
"if (waitForElementClickable(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/a_Edad_form_condicionDerechoTipoBeneftabla_ventanaCDTB0j_idt793""), 1))",Chrome 98.0.4758.102,,,2022-03-08 14:30:31,2022-03-08 14:30:33,"2,355s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/select_-- Seleccione --CargoCargos""), 6)",Chrome 98.0.4758.102,,,2022-03-08 14:30:33,2022-03-08 14:30:35,"1,377s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/input_Tipo Campo_form_condicionDerechoTipoBeneftabla_ventanaCDTBedadMinima""), ""1"")",Chrome 98.0.4758.102,,,2022-03-08 14:30:35,2022-03-08 14:30:36,"1,063s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/input_Tipo Campo_form_condicionDerechoTipoBeneftabla_ventanaCDTBedadMaxima""), ""80"")",Chrome 98.0.4758.102,,,2022-03-08 14:30:36,2022-03-08 14:30:36,"0,686s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/a_Tipo Campo_form_condicionDerechoTipoBeneftabla_ventanaCDTBj_idt794""))",Chrome 98.0.4758.102,,,2022-03-08 14:30:36,2022-03-08 14:30:37,"0,446s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/a_Regresar""))",Chrome 98.0.4758.102,,,2022-03-08 14:30:37,2022-03-08 14:30:38,"1,243s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/td_Prueba-S-SH""))",Chrome 98.0.4758.102,,,2022-03-08 14:30:38,2022-03-08 14:30:39,"0,767s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/a_DirigidoA""))",Chrome 98.0.4758.102,,,2022-03-08 14:30:39,2022-03-08 14:30:40,"0,950s",PASSED
"if (waitForElementClickable(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/a_Edad_form_condicionDerechoTipoBeneftabla_ventanaCDTB0j_idt793""), 1))",Chrome 98.0.4758.102,,,2022-03-08 14:30:40,2022-03-08 14:30:42,"2,102s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/select_-- Seleccione --CargoCargos""), 6)",Chrome 98.0.4758.102,,,2022-03-08 14:30:42,2022-03-08 14:30:43,"1,179s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/input_Tipo Campo_form_condicionDerechoTipoBeneftabla_ventanaCDTBedadMinima""), ""1"")",Chrome 98.0.4758.102,,,2022-03-08 14:30:43,2022-03-08 14:30:44,"0,957s",PASSED
"setText(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/input_Tipo Campo_form_condicionDerechoTipoBeneftabla_ventanaCDTBedadMaxima""), ""80"")",Chrome 98.0.4758.102,,,2022-03-08 14:30:44,2022-03-08 14:30:45,"1,030s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/a_Tipo Campo_form_condicionDerechoTipoBeneftabla_ventanaCDTBj_idt794""))",Chrome 98.0.4758.102,,,2022-03-08 14:30:45,2022-03-08 14:30:46,"0,774s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/div_Participante""))",Chrome 98.0.4758.102,,,2022-03-08 14:30:46,2022-03-08 14:30:47,"0,964s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/a_Invitacin""))",Chrome 98.0.4758.102,,,2022-03-08 14:30:47,2022-03-08 14:30:47,"0,486s",PASSED
"selectOptionByIndex(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/select_SeleccioneCALIDADMENSUAL ABCMODELO EMPRESA QUINCENALPANSIONADOSPENSIONADOS BASEPRUEBAS""), 1)",Chrome 98.0.4758.102,,,2022-03-08 14:30:47,2022-03-08 14:30:49,"1,507s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Filtro_de_Asistentes_S-(solicitante)/a_Filtrar""))",Chrome 98.0.4758.102,,,2022-03-08 14:30:49,2022-03-08 14:30:49,"0,543s",PASSED
delay(2),Chrome 98.0.4758.102,,,2022-03-08 14:30:49,2022-03-08 14:30:51,"2,015s",PASSED
closeBrowser(),Chrome 98.0.4758.102,,,2022-03-08 14:30:51,2022-03-08 14:30:52,"1,039s",PASSED
,,,,,,,
Test Cases/3.1-Pruebas_Bienestar/3.1.5-Publicación_del_evento,Chrome 98.0.4758.102,,,2022-03-08 14:30:52,2022-03-08 14:32:05,"1m - 13,005s",PASSED
"comment(""No Ejecutar. Falla con imagen subida"")",Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:30:53,"0,010s",PASSED
fecha = new java.util.Date(),Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:30:53,"0,001s",PASSED
Dia = fecha.getDate(),Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:30:53,"0,001s",PASSED
Mes = fecha.getMonth() + 1,Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:30:53,"0,003s",PASSED
MesN = fecha.getMonth() + 1,Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:30:53,"0,000s",PASSED
Año = fecha.getYear() + 1900,Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:30:53,"0,001s",PASSED
AñoN = fecha.getYear() + 1900,Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:30:53,"0,000s",PASSED
DiaF = Dia + 10,Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:30:53,"0,000s",PASSED
MesF = Mes + 1,Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:30:53,"0,000s",PASSED
AñoF = Año + 1,Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:30:53,"0,000s",PASSED
if (DiaF > 30),Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:30:53,"0,000s",PASSED
else,Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:30:53,"0,001s",PASSED
if (MesF > 12),Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:30:53,"0,000s",PASSED
"FechaI = Dia + ""/"" + MesN + ""/"" + AñoN",Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:30:53,"0,000s",PASSED
"FechaF = DiaF + ""/"" + Mes + ""/"" + Año",Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:30:53,"0,000s",PASSED
"callTestCase(findTestCase(""Utilidades-(atajos_para _tareas)/Modulos/Modulo bienestar-eventos""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-08 14:30:53,2022-03-08 14:31:03,"10,201s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Publicación del evento/td_Prueba-S""))",Chrome 98.0.4758.102,,,2022-03-08 14:31:03,2022-03-08 14:31:05,"2,182s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Publicación del evento/a_Publicacin""))",Chrome 98.0.4758.102,,,2022-03-08 14:31:05,2022-03-08 14:31:07,"1,430s",PASSED
"if (waitForElementClickable(findTestObject(""Modulo Pruebas Bienestar/Publicación del evento/a_httplocalhost8380sarawebrepodocrecursosuid9dc2ce980076ceb250408bf7ce50f4ab_form_publicacionEventotabla10j_idt241""), 1))",Chrome 98.0.4758.102,,,2022-03-08 14:31:07,2022-03-08 14:31:09,"2,242s",PASSED
"ruta = G_rutaarchivos + ""logo_union_soluciones.jpg""",Chrome 98.0.4758.102,,,2022-03-08 14:31:09,2022-03-08 14:31:09,"0,000s",PASSED
"uploadFile(findTestObject(""Modulo Pruebas Bienestar/Publicación del evento/input_Choose_form_publicacionEventotabla1archivo_input""), ruta)",Chrome 98.0.4758.102,,,2022-03-08 14:31:09,2022-03-08 14:31:10,"0,962s",PASSED
"waitForElementClickable(findTestObject(""Modulo Pruebas Bienestar/Publicación del evento/input_Choose_form_publicacionEventotabla1subir""), 0)",Chrome 98.0.4758.102,,,2022-03-08 14:31:10,2022-03-08 14:31:11,"0,862s",PASSED
"click(findTestObject(""Modulo Pruebas Bienestar/Publicación del evento/input_Choose_form_publicacionEventotabla1subir""))",Chrome 98.0.4758.102,,,2022-03-08 14:31:11,2022-03-08 14:31:12,"1,003s",PASSED
