Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1-Tareas Principales,Chrome 98.0.4758.102,Se compilan todos los test Exceptuando 1.4.5 el cual tiene un problema relacionado con el mismo Katalon.,,2022-03-08 16:08:30,2022-03-08 16:57:36,"49m - 6,073s",FAILED
,,,,,,,
Test Cases/1.1-Tareas Principales/1.1.1-Crear Nueva Hoja de Vida,Chrome 98.0.4758.102,,,2022-03-08 16:08:31,2022-03-08 16:09:06,"35,792s",PASSED
random_double = Math.random() * 9999 + 999,Chrome 98.0.4758.102,,,2022-03-08 16:08:31,2022-03-08 16:08:31,"0,017s",PASSED
random_double = Math.round(random_double * 1000),Chrome 98.0.4758.102,,,2022-03-08 16:08:31,2022-03-08 16:08:31,"0,002s",PASSED
"identificacion = toString().replace("".0"", """")",Chrome 98.0.4758.102,,,2022-03-08 16:08:31,2022-03-08 16:08:31,"0,003s",PASSED
"callTestCase(findTestCase(""0.1-Login""), [:], STOP_ON_FAILURE)",Chrome 98.0.4758.102,,,2022-03-08 16:08:31,2022-03-08 16:08:41,"9,903s",PASSED
"waitForElementClickable(findTestObject(""Modulo Tarea Listado Hojas de Vida/Crear Nueva Hoja de Vida/input_Listado Hojas De Vida_form_templatej_idt24_input""), G_TimeOut)",Chrome 98.0.4758.102,,,2022-03-08 16:08:41,2022-03-08 16:08:42,"0,917s",PASSED
"setText(findTestObject(""Modulo Tarea Listado Hojas de Vida/Crear Nueva Hoja de Vida/input_Listado Hojas De Vida_form_templatej_idt24_input""), ""Listado Hojas de Vida"")",Chrome 98.0.4758.102,,,2022-03-08 16:08:42,2022-03-08 16:08:43,"0,723s",PASSED
delay(1),Chrome 98.0.4758.102,,,2022-03-08 16:08:43,2022-03-08 16:08:44,"1,015s",PASSED
